# z [m]         T [K]         P [Pa]        rho [kg/m^3]  H2O [kg/kg]   CO2 [kg/kg]   O3 [kg/kg]    CH4 [kg/kg]   
  0.000000e+00  2.881832e+02  1.002718e+05  1.220089e+00  4.484756e-03  6.282761e-04  5.000033e-08  1.033649e-06 
  1.000000e+03  2.816801e+02  8.886842e+04  1.106299e+00  4.484756e-03  6.282761e-04  5.000107e-08  1.033649e-06 
  2.000000e+03  2.751771e+02  7.854009e+04  1.000830e+00  4.484756e-03  6.282761e-04  5.000336e-08  1.033649e-06 
  3.000000e+03  2.686741e+02  6.920734e+04  9.032493e-01  3.771491e-03  6.282761e-04  5.001008e-08  1.033649e-06 
  4.000000e+03  2.621711e+02  6.079486e+04  8.131363e-01  2.431679e-03  6.282761e-04  5.002911e-08  1.033649e-06 
  5.000000e+03  2.556681e+02  5.323140e+04  7.300838e-01  1.526744e-03  6.282761e-04  5.008072e-08  1.033649e-06 
  6.000000e+03  2.491651e+02  4.644965e+04  6.536972e-01  9.313645e-04  6.282761e-04  5.021507e-08  1.033649e-06 
  7.000000e+03  2.426621e+02  4.038610e+04  5.835947e-01  5.506605e-04  6.282761e-04  5.055058e-08  1.033649e-06 
  8.000000e+03  2.361590e+02  3.498092e+04  5.194072e-01  3.146662e-04  6.282761e-04  5.135422e-08  1.033649e-06 
  9.000000e+03  2.296560e+02  3.017784e+04  4.607779e-01  1.732467e-04  6.282761e-04  5.320023e-08  1.033649e-06 
  1.000000e+04  2.231530e+02  2.592405e+04  4.073628e-01  9.158173e-05  6.282761e-04  5.726612e-08  1.033649e-06 
  1.100000e+04  2.166500e+02  2.217002e+04  3.588300e-01  4.629872e-05  6.282761e-04  6.585084e-08  1.033649e-06 
  1.200000e+04  2.166500e+02  1.891515e+04  3.061487e-01  4.629872e-05  6.282761e-04  8.322234e-08  1.033649e-06 
  1.300000e+04  2.166500e+02  1.613814e+04  2.612018e-01  4.629872e-05  6.282761e-04  1.169016e-07  1.033649e-06 
  1.400000e+04  2.166500e+02  1.376883e+04  2.228537e-01  4.629872e-05  6.282761e-04  1.794407e-07  1.033649e-06 
  1.500000e+04  2.166500e+02  1.174737e+04  1.901356e-01  4.629872e-05  6.282761e-04  2.906209e-07  1.033649e-06 
  1.600000e+04  2.166500e+02  1.002269e+04  1.622210e-01  4.629872e-05  6.282761e-04  4.797581e-07  1.033649e-06 
  1.700000e+04  2.166500e+02  8.551221e+03  1.384047e-01  4.629872e-05  6.282761e-04  7.874679e-07  1.033649e-06 
  1.800000e+04  2.166500e+02  7.295782e+03  1.180849e-01  4.629872e-05  6.282761e-04  1.265879e-06  1.033649e-06 
